,Unnamed: 0,CamId,Filename,S_Spring,S_Summer,S_Fall,S_Winter,D_Night,D_Twilight,D_Sunrise,D_Sunset,D_Day,D_FullDaylight,I_Height,I_Width,I_LowestSky,I_Low09Sky,TimeStamp,DQ_TimeDiffers,IQ_Empty,IQ_Noise,Conds,Fog,Rain,Snow,Hail,Thunder
1126,36806,19388,20130604_221401.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,20:50+1,144,0,13.030.385.026.610.000,Clear,0,0,0,0,0
1127,58040,8733,20131110_163640.jpg,0,0,1,0,0,1,0,0,0,0,480,640,321,319,16:50+1,46,0,12.533.329.787.519.400,Light Rain,0,1,0,0,0
1128,39781,623,20140810_014201.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,435,435,18:52-6,50,0,19.500.137.537.247.700,Clear,0,0,0,0,0
1129,94618,17244,20130107_000642.jpg,0,0,0,1,0,1,0,0,0,0,480,640,157,142,15:43-6,143,0,12.160.546.931.725.800,Overcast,0,0,0,0,0
1130,26771,22788,20140830_052731.jpg,0,1,0,0,0,1,0,0,0,0,800,1280,357,351,04:50+1,97,0,0.1729108377149144,Overcast,0,0,0,0,0
1131,9215,9708,20110314_043518.jpg,1,0,0,0,0,1,0,0,0,0,960,1280,133,129,05:25+0,50,0,21.866.600.089.635.400,Overcast,0,0,0,0,0
1132,54381,17244,20120913_113543.jpg,0,0,1,0,0,1,0,0,0,0,480,640,157,142,05:50-6,15,0,15.659.747.105.385.800,Clear,0,0,0,0,0
1133,44233,858,20140606_123302.jpg,0,1,0,0,0,1,0,0,0,0,480,640,278,278,00:53-10,100,0,0.8951446292397334,Light Rain,0,1,0,0,0
1134,3431,861,20140302_010551.jpg,1,0,0,0,0,1,0,0,0,0,480,640,164,163,14:54-7,191,0,0.555975831939608,Clear,0,0,0,0,0
1135,92155,260,20130124_121500.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,337,325,05:40-5,95,0,11.797.854.233.392.300,Scattered Clouds,0,0,0,0,0
1136,28704,3888,20130723_034355.jpg,0,1,0,0,0,1,0,0,0,0,240,320,69,68,04:30+0,47,0,0.43848431408642496,Unknown,0,0,0,0,0
1137,55751,65,20141023_140313.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,425,420,06:15-7,48,0,0.30281679516637283,Clear,0,0,0,0,0
1138,59235,204,20131020_114946.jpg,0,0,1,0,0,1,0,0,0,0,480,704,369,366,05:54-6,5,0,0.3458216754298292,Clear,0,0,0,0,0
1139,50497,684,20140823_141209.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,523,505,05:54-5,198,0,0.3888265556932817,Overcast,0,0,0,0,0
1140,65612,17218,20131007_194013.jpg,0,0,1,0,0,1,0,0,0,0,600,960,310,310,18:00-4,140,0,3,09E-01,Unknown,0,0,0,0,0
1141,17911,65,20130411_030308.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,425,420,19:15-7,48,0,8.651.303.447.214.280,Clear,0,0,0,0,0
1142,16740,3837,20140427_035216.jpg,1,0,0,0,0,1,0,0,0,0,480,640,124,119,03:50+0,2,0,12.554.243.732.226.600,Light Rain,0,1,0,0,0
1143,86784,17218,20130114_121021.jpg,0,0,0,1,0,1,0,0,0,0,600,960,310,310,09:00-4,50,0,5,14E-02,Unknown,0,0,0,0,0
1144,70949,19106,20131002_100652.jpg,0,0,1,0,0,1,0,0,0,0,480,640,256,255,06:00-5,54,0,2.055.090.831.979.660,Unknown,0,0,0,0,0
1145,796,65,20140509_130306.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,425,420,05:15-7,48,0,0.32099279623325605,Clear,0,0,0,0,0
1146,8530,3396,20130517_050846.jpg,1,0,0,0,0,1,0,0,0,0,960,1280,484,482,05:20+1,48,0,0.9696312668294452,Overcast,0,0,0,0,0
1147,69982,7211,20120921_054006.jpg,0,0,1,0,0,1,0,0,0,0,1024,1280,415,406,05:50+1,50,0,0.2713350378401078,Patches of Fog,1,0,0,0,0
1148,41115,623,20130621_114206.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,435,435,04:52-6,50,0,0.4384843140864143,Mostly Cloudy,0,0,0,0,0
1149,11581,19306,20130525_115333.jpg,1,0,0,0,0,1,0,0,0,0,960,1296,272,249,03:55-8,2,0,2.421.969.289.210.660,Clear,0,0,0,0,0
1150,28296,7211,20120719_041003.jpg,0,1,0,0,0,1,0,0,0,0,1024,1280,415,406,04:20+1,50,0,0.2407445971749484,Clear,0,0,0,0,0
1151,10850,204,20140327_234949.jpg,1,0,0,0,0,1,0,0,0,0,480,704,369,366,17:54-6,5,0,0.3888265556932845,Overcast,0,0,0,0,0
1152,22093,4679,20140312_181014.jpg,1,0,0,0,0,1,0,0,0,0,480,640,188,185,18:20+1,50,0,0.4384843140864289,Unknown,0,0,0,0,0
1153,20326,18590,20130415_113924.jpg,1,0,0,0,0,1,0,0,0,0,480,640,280,268,04:52-6,47,0,1,85E+02,Overcast,0,0,0,0,0
1154,51538,3888,20130725_034225.jpg,0,1,0,0,0,1,0,0,0,0,240,320,69,68,04:30+0,48,0,0.5063180735464536,Unknown,0,0,0,0,0
1155,2002,260,20140421_214457.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,337,325,19:09-5,145,0,0.12657951838661127,Clear,0,0,0,0,0
1156,66775,4801,20111110_091002.jpg,0,0,1,0,0,1,0,0,0,0,480,640,243,241,06:58+1,192,0,2,06E-02,Fog,1,0,0,0,0
1157,72080,3297,20130924_020127.jpg,0,0,1,0,0,1,0,0,0,0,412,550,242,236,18:00-8,1,0,0.2531590367732384,Light Rain Showers,0,1,0,0,0
1158,89473,162,20140109_180826.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,521,513,10:35-6,93,0,0.3954794338229665,Overcast,0,0,0,0,0
1159,42366,260,20140624_011456.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,337,325,20:16-5,2,0,11.086.252.248.143.500,Scattered Clouds,0,0,0,0,0
1160,55468,7211,20121016_061001.jpg,0,0,1,0,0,1,0,0,0,0,1024,1280,415,406,06:20+1,50,0,0.20350127838008086,Light Rain,0,1,0,0,0
1161,70503,7211,20121008_054001.jpg,0,0,1,0,0,1,0,0,0,0,1024,1280,415,406,05:50+1,50,0,0.1853252773132019,Patches of Fog,1,0,0,0,0
1162,16284,5021,20130925_214633.jpg,1,0,0,0,0,1,0,0,0,0,480,640,257,254,22:00-3,194,0,0.3367336748963803,Clear,0,0,0,0,0
1163,78489,4801,20111231_154002.jpg,0,0,0,1,0,1,0,0,0,0,480,640,243,241,18:20+1,100,0,4,12E-02,Rain,0,1,0,0,0
1164,34422,19388,20130726_211402.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,19:50+1,144,0,14.167.579.231.187.700,Clear,0,0,0,0,0
1165,88788,3297,20130205_010122.jpg,0,0,0,1,0,1,0,0,0,0,412,550,242,236,17:00-8,1,0,4,06E+00,Mostly Cloudy,0,0,0,0,0
1166,82562,260,20130113_231457.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,337,325,17:27-5,47,0,0.3209927962332546,Scattered Clouds,0,0,0,0,0
1167,24915,3297,20130521_040130.jpg,1,0,0,0,0,1,0,0,0,0,412,550,242,236,20:00-8,1,0,0.1604963981166287,Light Rain,0,1,0,0,0
1168,54994,18590,20131117_123928.jpg,0,0,1,0,0,1,0,0,0,0,480,640,280,268,05:52-6,47,0,8,23E-02,Overcast,0,0,0,0,0
1169,82089,9730,20130707_192706.jpg,0,0,0,1,0,1,0,0,0,0,480,640,182,179,17:00-4,93,0,0.0,Scattered Clouds,0,0,0,0,0
1170,67564,18590,20131122_123933.jpg,0,0,1,0,0,1,0,0,0,0,480,640,280,268,05:52-6,47,0,1,17E-14,Overcast,0,0,0,0,0
1171,90836,3297,20130224_150132.jpg,0,0,0,1,0,1,0,0,0,0,412,550,242,236,07:00-8,1,0,0.2531590367732213,Overcast,0,0,0,0,0
1172,56257,4679,20141001_174025.jpg,0,0,1,0,0,1,0,0,0,0,480,640,188,185,20:20+1,100,0,0.5808047111361719,Mostly Cloudy,0,0,0,0,0
1173,38348,19388,20130712_221400.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,20:50+1,144,0,11.222.572.256.145.100,Clear,0,0,0,0,0
1174,23714,623,20140527_011151.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,435,435,16:52-6,139,0,0.4318314359567277,Mostly Cloudy,0,0,0,0,0
1175,52114,4801,20111105_144001.jpg,0,0,1,0,0,1,0,0,0,0,480,640,243,241,17:20+1,100,0,0.1853252773131962,Mostly Cloudy,0,0,0,0,0
1176,62051,260,20131103_204450.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,337,325,17:20-5,96,0,0.11416507878832058,Clear,0,0,0,0,0
1177,50034,861,20140727_223551.jpg,0,1,0,0,0,1,0,0,0,0,480,640,164,163,16:26-7,51,0,0.3706505546263998,Clear,0,0,0,0,1
1178,12843,22788,20140517_032732.jpg,1,0,0,0,0,1,0,0,0,0,800,1280,357,351,02:50+1,97,0,0.13899395798490127,Unknown,0,0,0,0,0
1179,50549,7233,20130606_193141.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,258,247,20:20+1,11,0,3,41E+00,Partly Cloudy,0,0,0,0,0
1180,8917,3837,20140523_035217.jpg,1,0,0,0,0,1,0,0,0,0,480,640,124,119,03:50+0,2,0,0.6486384705962235,Rain,0,1,0,0,0
1181,69400,162,20131016_233834.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,521,513,16:52-6,46,0,14.511.204.611.793.300,Overcast,0,0,0,0,0
1182,70746,9112,20131023_061922.jpg,0,0,1,0,0,1,0,0,0,0,480,640,265,262,06:20+0,1,0,17.127.150.094.044.700,Clear,0,0,0,0,0
1183,75444,4795,20130102_133416.jpg,0,0,0,1,0,1,0,0,0,0,381,508,52,49,17:00+1,146,0,0.6328975919330724,Mostly Cloudy,0,0,0,0,0
1184,64496,11331,20140906_171134.jpg,0,0,1,0,0,1,0,0,0,0,665,857,181,180,19:00+1,49,0,1,17E-14,Scattered Clouds,0,0,0,0,0
1185,72303,9483,20131107_035415.jpg,0,0,1,0,0,1,0,0,0,0,647,1024,306,302,07:20+1,146,0,0.3209927962332538,Mostly Cloudy,0,0,0,0,0
1186,48521,9708,20110612_193517.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,133,129,20:25+0,50,0,17.887.454.527.368.100,Mostly Cloudy,0,0,0,0,0
1187,50093,260,20130727_141456.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,337,325,07:39-5,95,0,0.4351578750215742,Clear,0,0,0,0,0
1188,31902,19388,20130609_204409.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,23:20+1,96,0,2.326.306.456.030.000,Rain,0,1,0,0,0
1189,77939,75,20130112_144301.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,621,616,06:52-8,9,0,0.4136554348898552,Clear,0,0,0,0,0
1190,36908,9708,20110805_070519.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,133,129,03:55+0,190,0,0.9596519496349192,Partly Cloudy,0,0,0,0,0
1191,41533,65,20140724_023303.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,425,420,19:35-7,2,0,0.5383329061645028,Clear,0,0,0,0,0
1192,32901,22788,20140609_032729.jpg,0,1,0,0,0,1,0,0,0,0,800,1280,357,351,02:50+1,97,0,9,93E+00,Mostly Cloudy,0,0,0,0,0
1193,41563,24325,20140705_150859.jpg,0,1,0,0,0,1,0,0,0,0,768,1024,418,409,04:53-7,195,0,0.5989807122030609,Clear,0,0,0,0,0
1194,72225,3297,20131013_020117.jpg,0,0,1,0,0,1,0,0,0,0,412,550,242,236,18:00-8,1,0,0.3954794338229752,Mostly Cloudy,0,0,0,0,0
1195,52961,4181,20131107_133038.jpg,0,0,1,0,0,1,0,0,0,0,480,640,166,155,04:58-7,92,0,0.2531590367732275,Clear,0,0,0,0,0
1196,63259,24325,20131125_143858.jpg,0,0,1,0,0,1,0,0,0,0,768,1024,418,409,06:53-7,45,0,0.30281679516637505,Overcast,0,0,0,0,0
1197,35442,19388,20130717_011416.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,03:00+1,46,0,0.5989807122030549,,0,0,0,0,0
1198,73119,7233,20131118_060140.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,258,247,07:00+1,1,0,2,06E-02,Light Fog,1,0,0,0,0
1199,74891,7233,20130225_053143.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,258,247,07:20+1,49,0,24.737.359.254.667.700,Scattered Clouds,0,0,0,0,0
1200,50343,204,20140711_101955.jpg,0,1,0,0,0,1,0,0,0,0,480,704,369,366,01:54-6,145,0,0.3797385551598351,Clear,0,0,0,0,0
1201,3806,7211,20120516_043955.jpg,1,0,0,0,0,1,0,0,0,0,1024,1280,415,406,04:50+1,49,0,0.0926626386565934,Mostly Cloudy,0,0,0,0,0
1202,69128,75,20131025_014304.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,621,616,16:52-8,51,0,0.5674989548767896,Clear,0,0,0,0,0
1203,30401,6798,20130615_053946.jpg,0,1,0,0,0,1,0,0,0,0,480,640,352,350,07:00-1,141,0,0.32099279623325305,Mostly Cloudy,0,0,0,0,0
1204,74557,10870,20130209_070803.jpg,0,0,0,1,0,1,0,0,0,0,480,640,185,183,07:20+1,48,0,0.21015415650977465,Scattered Clouds,0,0,0,0,0
1205,92146,260,20140110_224510.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,337,325,16:55-5,50,0,11.781.222.038.068.000,Mostly Cloudy,0,0,0,0,0
1206,88127,3297,20131212_233120.jpg,0,0,0,1,0,1,0,0,0,0,412,550,242,236,15:30-8,1,0,3,23E+01,Light Rain,0,1,0,0,0
1207,78681,65,20131211_003309.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,425,420,17:35-7,2,0,0.5593022710044477,Clear,0,0,0,0,0
1208,54442,7211,20120917_051005.jpg,0,0,1,0,0,1,0,0,0,0,1024,1280,415,406,05:20+1,50,0,0.09266263865661344,Unknown,0,0,0,0,0
1209,24616,11160,20130304_175318.jpg,1,0,0,0,0,1,0,0,0,0,480,640,233,232,20:20+0,147,0,27.730.957.837.520.000,Unknown,0,0,0,0,0
1210,87272,7233,20131222_063153.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,258,247,08:20+1,49,0,27.980.551.607.648.800,Unknown,0,0,0,0,0
1211,40140,65,20130730_130307.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,425,420,05:15-7,48,0,0.34249523636498624,Clear,0,0,0,0,0
1212,76123,10066,20130114_074630.jpg,0,0,0,1,0,1,0,0,0,0,480,640,278,268,07:55+1,51,0,0.06328975919329541,Snow,1,0,1,0,0
1213,26675,3297,20130814_173121.jpg,0,1,0,0,0,1,0,0,0,0,412,550,242,236,12:00-8,149,0,0.2531590367732213,Overcast,0,0,0,0,0
1214,3262,3297,20130428_013116.jpg,1,0,0,0,0,1,0,0,0,0,412,550,242,236,20:00-8,149,0,0.18532527731319987,Light Rain Showers,0,1,0,0,0
1215,50174,24325,20140622_150846.jpg,0,1,0,0,0,1,0,0,0,0,768,1024,418,409,04:53-7,195,0,0.39547943382297496,Clear,0,0,0,0,0
1216,73624,10870,20130914_053800.jpg,0,0,1,0,0,1,0,0,0,0,480,640,185,183,05:50+1,48,0,6,55E+00,Mostly Cloudy,0,0,0,0,0
1217,36913,65,20130817_123314.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,425,420,05:35-7,2,0,20.724.949.301.752.200,Clear,0,0,0,0,0
1218,40353,162,20140825_120852.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,521,513,02:52-6,196,0,0.3888265556932794,Scattered Clouds,0,0,0,0,0
1219,44396,260,20130724_031457.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,337,325,19:52-5,142,0,0.9116574107741944,Clear,0,0,0,0,0
1220,69050,3297,20131116_010115.jpg,0,0,1,0,0,1,0,0,0,0,412,550,242,236,17:00-8,1,0,0.4136554348898557,Mostly Cloudy,0,0,0,0,0
1221,87851,6798,20131212_165359.jpg,0,0,0,1,0,1,0,0,0,0,480,640,352,350,17:30-1,97,0,1,86E+01,Partly Cloudy,0,0,0,0,0
1222,46875,21510,20140703_150057.jpg,0,1,0,0,0,1,0,0,0,0,480,640,216,213,04:45-7,195,0,8.662.412.908.649.470,Overcast,0,0,0,0,0
1223,94734,65,20140215_020311.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,425,420,18:15-7,48,0,900.885.507.633.231,Clear,0,0,0,0,0
1224,75173,24325,20140213_170849.jpg,0,0,0,1,0,1,0,0,0,0,768,1024,418,409,06:53-7,195,0,0.25315903677323504,Clear,0,0,0,0,0
1225,16058,5020,20131109_074535.jpg,1,0,0,0,0,1,0,0,0,0,480,640,247,243,08:00-3,195,0,0.4881420724795753,Partly Cloudy,0,0,0,0,0
1226,5691,22788,20140414_052730.jpg,1,0,0,0,0,1,0,0,0,0,800,1280,357,351,04:50+1,97,0,8,23E-02,Unknown,0,0,0,0,0
1227,16566,1093,20140422_065401.jpg,1,0,0,0,0,1,0,0,0,0,480,640,212,207,01:43-6,49,0,0.948128826697732,Mostly Cloudy,0,0,0,0,0
1228,15392,19388,20130520_004405.jpg,1,0,0,0,0,1,0,0,0,0,960,1280,396,393,03:20+1,96,0,1.682.331.399.490.280,Unknown,0,0,0,0,0
1229,88244,24325,20140221_170850.jpg,0,0,0,1,0,1,0,0,0,0,768,1024,418,409,06:53-7,195,0,0.2779879159698015,Clear,0,0,0,0,0
1230,93862,22788,20140203_125728.jpg,0,0,0,1,0,1,0,0,0,0,800,1280,357,351,16:20+1,143,0,2,19E+02,Fog,1,0,0,0,0
1231,66639,260,20131017_214447.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,337,325,17:33-5,49,0,0.4351578750215697,Overcast,0,0,0,0,0
1232,77734,3297,20130102_223122.jpg,0,0,0,1,0,1,0,0,0,0,412,550,242,236,17:00-8,149,0,9,68E+00,Mostly Cloudy,0,0,0,0,0
1233,6888,3396,20130422_063836.jpg,1,0,0,0,0,1,0,0,0,0,960,1280,484,482,09:20+1,102,0,11.586.092.277.482.700,Overcast,0,0,0,0,0
1234,29246,3396,20130722_200837.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,484,482,20:20+1,48,0,37.237.902.306.697.900,Partly Cloudy,0,0,0,0,0
1235,30726,75,20130812_134253.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,621,616,04:52-8,50,0,0.3028167951663739,Clear,0,0,0,0,0
1236,50124,22788,20140613_205737.jpg,0,1,0,0,0,1,0,0,0,0,800,1280,357,351,21:50+1,7,0,1,49E+02,Clear,0,0,0,0,0
1237,47649,3395,20110618_020730.jpg,0,1,0,0,0,1,0,0,0,0,485,974,277,275,03:00+0,53,0,0.5559758319395989,,0,0,0,0,0
1238,26921,9291,20140712_174534.jpg,0,1,0,0,0,1,0,0,0,0,480,640,152,143,20:20+1,95,0,0.7164722300562361,Mostly Cloudy,0,0,0,0,0
1239,65744,11331,20141002_154130.jpg,0,0,1,0,0,1,0,0,0,0,665,857,181,180,18:20+1,99,0,1,17E-14,Scattered Clouds,0,0,0,0,0
1240,23344,9708,20110518_230521.jpg,1,0,0,0,0,1,0,0,0,0,960,1280,133,129,19:55+0,190,0,34.639.783.157.668.700,Scattered Clouds,0,0,0,0,0
1241,44567,24325,20140620_150851.jpg,0,1,0,0,0,1,0,0,0,0,768,1024,418,409,04:53-7,195,0,0.3458216754298312,Clear,0,0,0,0,0
1242,76743,17218,20131202_201013.jpg,0,0,0,1,0,1,0,0,0,0,600,960,310,310,17:00-4,50,0,0.09931551678627487,Unknown,0,0,0,0,0
1243,43201,162,20140705_050833.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,521,513,19:52-6,196,0,17.539.372.563.457.100,Light Rain,0,1,0,0,0
1244,50840,858,20140617_100252.jpg,0,1,0,0,0,1,0,0,0,0,480,640,278,278,00:53-10,51,0,0.8408234567901062,Mostly Cloudy,0,0,0,0,0
1245,12735,19388,20130501_014408.jpg,1,0,0,0,0,1,0,0,0,0,960,1280,396,393,04:20+1,96,0,16.306.841.770.239.400,Unknown,0,0,0,0,0
1246,46798,162,20130704_130838.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,521,513,03:52-6,196,0,0.39547943382296,Shallow Fog,1,0,0,0,0
1247,48892,7371,20120614_051731.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,487,482,03:50+1,147,0,0.463313193282988,Unknown,0,0,0,0,0
1248,51306,17218,20130625_081013.jpg,0,1,0,0,0,1,0,0,0,0,600,960,310,310,05:00-4,50,0,0.7213424748637114,Unknown,0,0,0,0,0
1249,94355,8953,20130110_164306.jpg,0,0,0,1,0,1,0,0,0,0,960,1280,594,586,16:50+1,53,0,912.964.103.642.179,Mostly Cloudy,0,0,0,0,0
1250,69595,19306,20131028_012333.jpg,0,0,1,0,0,1,0,0,0,0,960,1296,272,249,16:35-8,48,0,2.028.272.488.709.880,Rain,0,1,0,0,0
1251,76869,9112,20131217_154917.jpg,0,0,0,1,0,1,0,0,0,0,480,640,265,262,15:50+0,1,0,813.744.117.887.704,Mostly Cloudy,0,0,0,0,0
1252,43664,19388,20130810_174405.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,20:20+1,96,0,0.4351578750215783,Unknown,0,0,0,0,0
1253,70140,24325,20140919_133852.jpg,0,0,1,0,0,1,0,0,0,0,768,1024,418,409,05:53-7,45,0,0.42773309402056736,Clear,0,0,0,0,0
1254,46463,19388,20130626_004406.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,03:20+1,96,0,1.862.340.773.665.440,Overcast,0,0,0,0,0
1255,2583,5020,20131101_214540.jpg,1,0,0,0,0,1,0,0,0,0,480,640,247,243,22:00-3,195,0,0.1853252773131999,,0,0,0,0,0
1256,33600,858,20140608_123251.jpg,0,1,0,0,0,1,0,0,0,0,480,640,278,278,00:53-10,99,0,0.7776531113865621,Mostly Cloudy,0,0,0,0,0
1257,3767,260,20140519_091455.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,337,325,05:05-5,51,0,0.8521397489762816,Clear,0,0,0,0,0
1258,74596,75,20140218_204302.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,621,616,11:52-8,51,0,0.3391687973001383,Clear,0,0,0,0,0
1259,14707,65,20130301_133307.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,425,420,06:35-7,2,0,0.904232629773182,Clear,0,0,0,0,0
1260,50662,162,20130624_103834.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,521,513,03:52-6,46,0,0.8454868708465912,Clear,0,0,0,0,0
1261,64541,684,20131122_124146.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,523,505,06:54-5,47,0,0.4384843140864279,Overcast,0,0,0,0,0
1262,39744,65,20140722_023310.jpg,0,1,0,0,0,1,0,0,0,0,720,1280,425,420,19:35-7,2,0,0.3334072358315465,Clear,0,0,0,0,0
1263,35367,22788,20140624_022730.jpg,0,1,0,0,0,1,0,0,0,0,800,1280,357,351,01:50+1,97,0,0.5402349532764668,Unknown,0,0,0,0,0
1264,78520,3837,20140103_065213.jpg,0,0,0,1,0,1,0,0,0,0,480,640,124,119,06:50+0,2,0,1.062.293.905.486.050,Mostly Cloudy,0,0,0,0,0
1265,62034,3297,20131101_010123.jpg,0,0,1,0,0,1,0,0,0,0,412,550,242,236,17:00-8,1,0,0.2531590367732269,Light Rain,0,1,0,0,0
1266,57232,18590,20121010_233926.jpg,0,0,1,0,0,1,0,0,0,0,480,640,280,268,16:52-6,47,0,0.37065055462640345,Partly Cloudy,0,0,0,0,0
1267,55958,162,20131127_123833.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,521,513,05:52-6,46,0,10.804.699.065.529.200,Clear,0,0,0,0,0
1268,15847,18590,20130512_100930.jpg,1,0,0,0,0,1,0,0,0,0,480,640,280,268,01:52-6,137,0,0.4633131932829983,Scattered Clouds,0,0,0,0,0
1269,83251,11160,20130212_145319.jpg,0,0,0,1,0,1,0,0,0,0,480,640,233,232,17:20+0,147,0,37.727.954.999.813.800,Light Snow,0,0,1,0,0
1270,72797,3396,20131115_160841.jpg,0,0,1,0,0,1,0,0,0,0,960,1280,484,482,16:20+1,48,0,2.801.707.844.370.500,Mostly Cloudy,0,0,0,0,0
1271,8979,4679,20140425_041018.jpg,1,0,0,0,0,1,0,0,0,0,480,640,188,185,06:00+1,50,0,0.0678337594600089,Scattered Clouds,0,0,0,0,0
1272,26865,19388,20130713_011404.jpg,0,1,0,0,0,1,0,0,0,0,960,1280,396,393,03:00+1,46,0,0.3706505546264003,,0,0,0,0,0
1273,73171,9730,20130326_055709.jpg,0,0,1,0,0,1,0,0,0,0,480,640,182,179,06:00-4,243,0,2,06E-02,,0,0,0,0,0
1274,80581,19834,20140208_133234.jpg,0,0,0,1,0,1,0,0,0,0,512,672,283,282,05:53-6,99,0,0.3673241155615514,Overcast,0,0,0,0,0
1275,61035,204,20130928_234951.jpg,0,0,1,0,0,1,0,0,0,0,480,704,369,366,17:54-6,5,0,0.4136554348898544,Clear,0,0,0,0,0
1276,58816,9112,20131011_164923.jpg,0,0,1,0,0,1,0,0,0,0,480,640,265,262,16:50+0,1,0,4.293.963.135.529.860,Rain,0,1,0,0,0
1277,69190,7211,20121017_060957.jpg,0,0,1,0,0,1,0,0,0,0,1024,1280,415,406,06:20+1,49,0,0.2531590367732436,Clear,0,0,0,0,0
1278,76988,75,20131228_171255.jpg,0,0,0,1,0,1,0,0,0,0,720,1280,621,616,06:52-8,140,0,0.3209927962332585,Clear,0,0,0,0,0
1279,73263,9483,20131008_145415.jpg,0,0,1,0,0,1,0,0,0,0,647,1024,306,302,18:20+1,146,0,0.18532527731319787,Overcast,0,0,0,0,0
1280,3091,22788,20140502_202732.jpg,1,0,0,0,0,1,0,0,0,0,800,1280,357,351,19:50+1,97,0,0.463313193282994,Clear,0,0,0,0,0
1281,45890,9483,20130804_202413.jpg,0,1,0,0,0,1,0,0,0,0,647,1024,306,302,19:50+1,94,0,0.29949035610152697,Clear,0,0,0,0,0
1282,11359,11331,20140324_181123.jpg,1,0,0,0,0,1,0,0,0,0,665,857,181,180,20:00+1,49,0,0.09266263865660836,Partly Cloudy,0,0,0,0,0
1283,10043,17244,20130401_013548.jpg,1,0,0,0,0,1,0,0,0,0,480,640,157,142,18:44-6,51,0,12.926.612.926.518.100,Overcast,0,0,0,0,0
1284,48195,3837,20130608_195218.jpg,0,1,0,0,0,1,0,0,0,0,480,640,124,119,19:50+0,2,0,0.6304624695293293,Mostly Cloudy,0,0,0,0,0
1285,39141,861,20140611_123601.jpg,0,1,0,0,0,1,0,0,0,0,480,640,164,163,04:54-7,42,0,0.3243192352981009,Clear,0,0,0,0,0
1286,26010,9483,20130802_202411.jpg,0,1,0,0,0,1,0,0,0,0,647,1024,306,302,19:50+1,94,0,0.3706505546263997,Clear,0,0,0,0,0
1287,16270,260,20130430_224455.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,337,325,19:20-5,96,0,0.3938162142905513,Overcast,0,0,0,0,0
1288,21164,65,20130415_123320.jpg,1,0,0,0,0,1,0,0,0,0,720,1280,425,420,05:35-7,2,0,0.8587926271059818,Clear,0,0,0,0,0
1289,65365,10066,20131118_155723.jpg,0,0,1,0,0,1,0,0,0,0,480,640,278,268,16:55+1,2,0,0.4914685115444221,Fog,1,0,0,0,0
1290,57498,260,20131127_114454.jpg,0,0,1,0,0,1,0,0,0,0,720,1280,337,325,06:46-5,2,0,0.8306373088445542,Mostly Cloudy,0,0,0,0,0
